sex,Dose,Ageband,type_vax,Period,COVID19,CV,COVCANCER,COVCOPD,COVHIV,COVCKD,COVDIAB,COVOBES,COVSICKLE,IMMUNOSUPPR,any_risk_factors,year,Persontime,Persontime_GBS_narrow,Persontime_GBS_broad,Persontime_ADEM_broad,Persontime_ACUASEARTHRITIS_broad,Persontime_DM1_narrow,Persontime_DM1_broad,Persontime_HF_narrow,Persontime_HF_broad,Persontime_CAD_narrow,Persontime_CAD_broad,Persontime_ARR_narrow,Persontime_ARR_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_broad,Persontime_PERICARD_narrow,Persontime_PERICARD_broad,Persontime_ALI_narrow,Persontime_ALI_broad,Persontime_AKI_narrow,Persontime_AKI_broad,Persontime_MENINGOENC_broad,Persontime_ARD_narrow,Persontime_ARD_broad,Persontime_MISCC_narrow,Persontime_MISCC_broad,Persontime_MIS_broad,Persontime_Hemostroke_narrow,Persontime_Hemostroke_broad,Persontime_Ischstroke_narrow,Persontime_Ischstroke_broad,Persontime_Sinusthrom_narrow,Persontime_Sinusthrom_broad,Persontime_VTE_narrow,Persontime_VTE_broad,Persontime_TP_narrow,Persontime_TP_broad,Persontime_BP_narrow,Persontime_BP_broad,Persontime_CONTRDIVERTIC,Persontime_CONTRHYPERT,Persontime_MIS_KD_narrow,Persontime_MIS_KD_broad,Persontime_DEATH,Persontime_ArterialNoTP,Persontime_VTENoTP,Persontime_ArterialVTENoTP,Persontime_CVSTNoTP,GBS_narrow_b,GBS_broad_b,ADEM_broad_b,ACUASEARTHRITIS_broad_b,DM1_narrow_b,DM1_broad_b,HF_narrow_b,HF_broad_b,CAD_narrow_b,CAD_broad_b,ARR_narrow_b,ARR_broad_b,MYOCARD_narrow_b,MYOCARD_broad_b,PERICARD_narrow_b,PERICARD_broad_b,ALI_narrow_b,ALI_broad_b,AKI_narrow_b,AKI_broad_b,MENINGOENC_broad_b,ARD_narrow_b,ARD_broad_b,MISCC_narrow_b,MISCC_broad_b,MIS_broad_b,Hemostroke_narrow_b,Hemostroke_broad_b,Ischstroke_narrow_b,Ischstroke_broad_b,Sinusthrom_narrow_b,Sinusthrom_broad_b,VTE_narrow_b,VTE_broad_b,TP_narrow_b,TP_broad_b,BP_narrow_b,BP_broad_b,CONTRDIVERTIC_b,CONTRHYPERT_b,MIS_KD_narrow_b,MIS_KD_broad_b,DEATH_b,ArterialNoTP_b,VTENoTP_b,ArterialVTENoTP_b,CVSTNoTP_b,Persontime_GENCONV_narrow,Persontime_GENCONV_broad,Persontime_ANAPHYL_broad,GENCONV_narrow_b,GENCONV_broad_b,ANAPHYL_broad_b
0,0,18-24,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,73872,73872,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,74201,0,0,0,0,0,0,0,0,0,0,< 5,< 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74201,74201,74201,0,0,0
0,0,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70441,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,70760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,< 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70760,70760,70760,0,0,0
0,0,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62007,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62198,62053,62198,62198,62198,62198,62198,62198,62198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,< 5,0,0,0,0,0,0,0,62198,62198,62198,0,0,0
0,0,25-29,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,503,503,0,0,0
0,0,30-39,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148579,148273,148579,148579,148579,148579,148579,148579,148579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,< 5,0,0,0,0,0,0,0,148579,148579,148579,0,0,0
0,0,30-39,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142353,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,142620,141409,142620,142620,142620,142620,142620,142620,142620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,< 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,< 5,0,0,0,0,0,0,0,142620,142620,142620,0,0,0
0,0,30-39,0,0,0,0,< 5,0,0,0,0,0,0,0,< 5,2019,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,681,681,0,0,0
0,0,30-39,0,0,0,0,< 5,0,0,0,0,0,0,0,< 5,2020,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,366,366,0,0,0
0,0,30-39,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,296,296,0,0,0
0,0,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,232281,232281,232281,232281,232281,232281,231891,232281,232281,232281,232281,232164,232164,232281,232281,232281,232281,232281,232281,232281,232123,232281,232281,232281,232281,232281,232281,232281,232281,232281,232281,232078,232078,232281,232281,232281,232281,232281,232281,232281,226749,232281,232281,232281,232281,232281,232281,232078,0,0,0,0,0,< 5,0,0,0,0,< 5,< 5,0,0,0,0,0,0,0,< 5,0,0,0,0,0,0,0,0,0,0,< 5,< 5,0,0,0,0,0,0,0,24,0,0,0,0,0,0,< 5,232191,232191,232251,< 5,< 5,< 5
0,0,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,217900,217900,217900,217849,217900,217900,217215,217900,217900,217900,217606,217534,217534,217900,217900,217900,217900,217882,217882,217900,217752,217849,217900,217882,217900,217900,217900,217900,217900,217717,217717,217534,217534,217900,217900,217900,217900,217900,217900,217900,208240,217900,217900,217900,217717,217900,217717,217534,0,0,< 5,0,0,< 5,0,0,0,< 5,0,0,0,0,0,0,< 5,< 5,0,0,< 5,0,< 5,0,0,0,0,0,< 5,< 5,0,0,0,0,0,0,0,0,0,18,0,0,< 5,< 5,0,< 5,0,217840,217840,217900,< 5,< 5,0
0,0,40-49,0,0,0,0,0,0,0,0,< 5,0,0,0,< 5,2019,365,365,365,365,365,365,0,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,0,0,0
0,0,40-49,0,0,0,0,0,0,0,0,< 5,0,0,0,< 5,2020,366,366,366,366,366,366,0,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,366,366,0,0,0
0,0,40-49,0,0,0,0,< 5,0,0,0,0,0,0,0,< 5,2019,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,< 5,0,0,0,0,971,971,971,0,0,0
0,0,40-49,0,0,0,0,< 5,0,0,0,0,0,0,0,< 5,2020,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,696,696,0,0,0
0,0,40-49,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,478,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,696,696,0,0,0
0,0,5-11,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,78992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78992,78992,78992,0,0,0
0,0,5-11,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,75746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75716,75716,75746,< 5,< 5,0
0,0,5-11,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126,126,0,0,0
0,0,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,230100,230100,230100,230100,230100,230100,229959,229936,229936,229998,229698,229511,229511,230100,230100,230100,230100,230100,230100,229865,229865,230100,230100,230100,230100,230100,230100,229899,229899,229899,229899,230100,230100,230100,230100,230100,230100,230100,230100,230100,216938,230100,230100,230100,229797,230100,229797,230100,0,0,0,0,0,< 5,< 5,< 5,< 5,< 5,< 5,< 5,0,0,0,0,0,0,< 5,< 5,0,0,0,0,0,0,< 5,< 5,< 5,< 5,0,0,0,0,0,0,0,0,0,58,0,0,< 5,< 5,0,< 5,0,230100,230100,230100,0,0,0
0,0,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,229758,229758,229758,229758,229758,229758,228897,229392,229341,229392,229164,228802,228802,229758,229758,229758,229758,229758,229758,229026,229026,229758,229758,229758,229758,229758,229758,229497,229497,229497,229497,229758,229758,229758,229758,229758,229758,229758,229758,229758,205726,229758,229758,229758,229131,229758,229131,229758,0,0,0,0,0,< 5,0,< 5,0,0,< 5,< 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,< 5,0,0,0,0,229758,229758,229758,0,0,0
0,0,50-59,0,0,0,0,0,0,0,< 5,0,0,0,0,< 5,2019,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,253,365,365,365,365,365,365,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,< 5,0,0,0,0,0,0,0,365,365,365,0,0,0
0,0,50-59,0,0,0,0,0,0,0,< 5,0,0,0,0,< 5,2020,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,0,366,366,366,366,366,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,366,366,0,0,0
0,0,50-59,0,0,0,0,< 5,0,0,0,0,0,0,0,< 5,2019,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,862,862,0,0,0
0,0,50-59,0,0,0,0,< 5,0,0,0,0,0,0,0,< 5,2020,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,1115,1115,0,0,0
0,0,50-59,0,0,0,< 5,0,0,0,0,0,0,0,0,< 5,2019,730,730,730,730,730,730,730,730,730,730,0,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,658,730,730,730,730,730,730,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,< 5,0,0,0,0,0,0,0,730,730,730,0,0,0
0,0,50-59,0,0,0,< 5,0,0,0,0,0,0,0,0,< 5,2020,732,732,732,732,732,732,732,732,732,732,0,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,366,732,732,732,732,732,732,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,732,732,0,0,0
0,0,50-59,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,765,765,765,765,765,765,607,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,544,765,765,765,765,765,765,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,< 5,0,0,0,0,0,0,0,765,765,765,0,0,0
0,0,50-59,0,0,1,0,< 5,0,0,0,0,0,0,0,< 5,2020,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,0,0,0
0,0,60-69,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,177196,177196,177196,177196,177196,177196,176387,177196,176831,177196,177168,177038,177038,177196,177196,177196,177196,177196,177196,176996,176701,177196,177196,177196,177196,177196,177196,177196,177196,177131,177131,177196,177196,177196,177196,176923,176923,177196,177196,177196,153978,177196,177196,177196,177131,177196,177131,177196,0,0,0,0,0,< 5,0,< 5,0,< 5,< 5,< 5,0,0,0,0,0,0,< 5,< 5,0,0,0,0,0,0,0,0,< 5,< 5,0,0,0,0,< 5,< 5,0,0,0,111,0,0,0,< 5,0,< 5,0,177196,177196,177196,0,0,0
0,0,60-69,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,175422,175422,175422,175422,175422,175422,174168,175422,174581,175422,174890,174794,174794,175422,175422,175422,175422,175422,175422,175056,174690,175422,175422,175422,175422,175422,175422,175030,175030,175317,175317,175422,175422,175422,175422,175056,175056,175422,175422,175422,136805,175422,175422,175422,175317,175422,175317,175422,0,0,0,0,0,< 5,0,< 5,0,0,< 5,< 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,< 5,< 5,0,0,0,0,0,0,0,0,0,0,0,39,0,0,< 5,0,0,0,0,175422,175422,175422,0,0,0
0,0,60-69,0,0,0,0,0,0,0,0,< 5,0,0,0,< 5,2019,730,730,730,730,730,730,0,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,482,730,730,730,730,730,730,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,< 5,0,0,0,0,0,0,0,730,730,730,0,0,0
