"","**Characteristic**","**TEST_HOSP**"
"59","ECVM210900064","1 (<0.1%)"
"60","ECVM210900065","1 (<0.1%)"
"61","ECVM210900066","1 (<0.1%)"
"62","ECVM210900067","1 (<0.1%)"
"63","ECVM210900068","1 (<0.1%)"
"64","ECVM210900071","1 (<0.1%)"
"65","ECVM210900072","1 (<0.1%)"
"66","ECVM210900073","1 (<0.1%)"
"67","ECVM210900074","1 (<0.1%)"
"68","ECVM210900075","1 (<0.1%)"
"69","ECVM210900077","1 (<0.1%)"
"70","ECVM210900078","1 (<0.1%)"
"71","ECVM210900079","1 (<0.1%)"
"72","ECVM210900080","1 (<0.1%)"
"73","ECVM210900081","1 (<0.1%)"
"74","ECVM210900082","1 (<0.1%)"
"75","ECVM210900083","1 (<0.1%)"
"76","ECVM210900084","1 (<0.1%)"
"77","ECVM210900085","1 (<0.1%)"
"78","ECVM210900086","1 (<0.1%)"
"79","ECVM210900087","1 (<0.1%)"
"80","ECVM210900088","1 (<0.1%)"
"81","ECVM210900089","1 (<0.1%)"
"82","ECVM210900090","1 (<0.1%)"
"83","ECVM210900091","1 (<0.1%)"
"84","ECVM210900093","1 (<0.1%)"
"85","ECVM210900094","1 (<0.1%)"
"86","ECVM210900095","1 (<0.1%)"
"87","ECVM210900098","1 (<0.1%)"
"88","ECVM210900100","1 (<0.1%)"
"89","ECVM210900101","1 (<0.1%)"
"90","ECVM210900102","1 (<0.1%)"
"91","ECVM210900104","1 (<0.1%)"
"92","ECVM210900105","1 (<0.1%)"
"93","ECVM210900106","1 (<0.1%)"
"94","ECVM210900107","1 (<0.1%)"
"95","ECVM210900108","1 (<0.1%)"
"96","ECVM210900109","1 (<0.1%)"
"97","ECVM210900110","1 (<0.1%)"
"98","ECVM210900111","1 (<0.1%)"
"99","ECVM210900112","1 (<0.1%)"
"100","ECVM210900113","1 (<0.1%)"
"101","ECVM210900114","1 (<0.1%)"
"102","ECVM210900117","1 (<0.1%)"
"103","ECVM210900118","1 (<0.1%)"
"104","ECVM210900119","1 (<0.1%)"
"105","ECVM210900120","1 (<0.1%)"
"106","ECVM210900121","1 (<0.1%)"
"107","ECVM210900123","1 (<0.1%)"
"108","ECVM210900124","1 (<0.1%)"
"109","ECVM210900125","1 (<0.1%)"
"110","ECVM210900126","1 (<0.1%)"
"111","ECVM210900127","1 (<0.1%)"
"112","ECVM210900128","1 (<0.1%)"
"113","ECVM210900129","1 (<0.1%)"
"114","ECVM210900130","1 (<0.1%)"
"115","ECVM210900131","1 (<0.1%)"
"116","ECVM210900132","1 (<0.1%)"
"117","ECVM210900133","1 (<0.1%)"
"118","ECVM210900134","1 (<0.1%)"
"119","ECVM210900135","1 (<0.1%)"
"120","ECVM210900136","1 (<0.1%)"
"121","ECVM210900137","1 (<0.1%)"
"122","ECVM210900138","1 (<0.1%)"
"123","ECVM210900139","1 (<0.1%)"
"124","ECVM210900140","1 (<0.1%)"
"125","ECVM210900141","1 (<0.1%)"
"126","ECVM210900142","1 (<0.1%)"
"127","ECVM210900143","1 (<0.1%)"
"128","ECVM210900144","1 (<0.1%)"
"129","ECVM210900145","1 (<0.1%)"
"130","ECVM210900146","1 (<0.1%)"
"131","ECVM210900147","1 (<0.1%)"
"132","ECVM210900150","1 (<0.1%)"
"133","ECVM210900151","1 (<0.1%)"
"134","ECVM210900152","1 (<0.1%)"
"135","ECVM210900153","1 (<0.1%)"
"136","ECVM210900155","1 (<0.1%)"
"137","ECVM210900156","1 (<0.1%)"
"138","ECVM210900157","1 (<0.1%)"
"139","ECVM210900158","1 (<0.1%)"
"140","ECVM210900159","1 (<0.1%)"
"141","ECVM210900160","1 (<0.1%)"
"142","ECVM210900161","1 (<0.1%)"
"143","ECVM210900163","1 (<0.1%)"
"144","ECVM210900164","1 (<0.1%)"
"145","ECVM210900166","1 (<0.1%)"
"146","ECVM210900167","1 (<0.1%)"
"147","ECVM210900168","1 (<0.1%)"
"148","ECVM210900169","1 (<0.1%)"
"149","ECVM210900170","1 (<0.1%)"
"150","ECVM210900171","1 (<0.1%)"
"151","ECVM210900172","1 (<0.1%)"
"152","ECVM210900173","1 (<0.1%)"
"153","ECVM210900174","1 (<0.1%)"
"154","ECVM210900175","1 (<0.1%)"
"155","ECVM210900176","1 (<0.1%)"
"156","ECVM210900177","1 (<0.1%)"
"157","ECVM210900178","1 (<0.1%)"
"158","ECVM210900179","1 (<0.1%)"
"159","ECVM210900180","1 (<0.1%)"
"160","ECVM210900181","1 (<0.1%)"
"161","ECVM210900182","1 (<0.1%)"
"162","ECVM210900183","1 (<0.1%)"
"163","ECVM210900184","1 (<0.1%)"
"164","ECVM210900185","1 (<0.1%)"
"165","ECVM210900186","1 (<0.1%)"
"166","ECVM210900187","1 (<0.1%)"
"167","ECVM210900188","1 (<0.1%)"
"168","ECVM210900190","1 (<0.1%)"
"169","ECVM210900191","1 (<0.1%)"
"170","ECVM210900192","1 (<0.1%)"
"171","ECVM210900193","1 (<0.1%)"
"172","ECVM210900194","1 (<0.1%)"
"173","ECVM210900195","1 (<0.1%)"
"174","ECVM210900196","1 (<0.1%)"
"175","ECVM210900198","1 (<0.1%)"
"176","ECVM210900199","1 (<0.1%)"
"177","ECVM210900200","1 (<0.1%)"
"178","ECVM210900201","1 (<0.1%)"
"179","ECVM210900202","1 (<0.1%)"
"180","ECVM210900203","1 (<0.1%)"
"181","ECVM210900204","1 (<0.1%)"
"182","ECVM210900205","1 (<0.1%)"
"183","ECVM210900206","1 (<0.1%)"
"184","ECVM210900207","1 (<0.1%)"
"185","ECVM210900208","1 (<0.1%)"
"186","ECVM210900209","1 (<0.1%)"
"187","ECVM210900210","1 (<0.1%)"
"188","ECVM210900211","1 (<0.1%)"
"189","ECVM210900212","1 (<0.1%)"
"190","ECVM210900213","1 (<0.1%)"
"191","ECVM210900214","1 (<0.1%)"
"192","ECVM210900215","1 (<0.1%)"
"193","ECVM210900216","1 (<0.1%)"
"194","ECVM210900217","1 (<0.1%)"
"195","ECVM210900218","1 (<0.1%)"
"196","ECVM210900219","1 (<0.1%)"
"197","ECVM210900220","1 (<0.1%)"
"198","ECVM210900221","1 (<0.1%)"
"199","ECVM210900222","1 (<0.1%)"
"200","ECVM210900223","1 (<0.1%)"
"201","ECVM210900224","1 (<0.1%)"
"202","ECVM210900225","1 (<0.1%)"
"203","ECVM210900226","1 (<0.1%)"
"204","ECVM210900227","1 (<0.1%)"
"205","ECVM210900228","1 (<0.1%)"
"206","ECVM210900229","1 (<0.1%)"
"207","ECVM210900231","1 (<0.1%)"
"208","ECVM210900232","1 (<0.1%)"
"209","ECVM210900234","1 (<0.1%)"
"210","ECVM210900235","1 (<0.1%)"
"211","ECVM210900236","1 (<0.1%)"
"212","ECVM210900237","1 (<0.1%)"
"213","ECVM210900238","1 (<0.1%)"
"214","ECVM210900239","1 (<0.1%)"
"215","ECVM210900240","1 (<0.1%)"
"216","ECVM210900241","1 (<0.1%)"
"217","ECVM210900242","1 (<0.1%)"
"218","ECVM210900244","1 (<0.1%)"
"219","ECVM210900245","1 (<0.1%)"
"220","ECVM210900246","1 (<0.1%)"
"221","ECVM210900247","1 (<0.1%)"
"222","ECVM210900248","1 (<0.1%)"
"223","ECVM210900249","1 (<0.1%)"
"224","ECVM210900250","1 (<0.1%)"
"225","ECVM210900251","1 (<0.1%)"
"226","ECVM210900252","1 (<0.1%)"
"227","ECVM210900253","1 (<0.1%)"
"228","ECVM210900254","1 (<0.1%)"
"229","ECVM210900255","1 (<0.1%)"
"230","ECVM210900256","1 (<0.1%)"
"231","ECVM210900257","1 (<0.1%)"
"232","ECVM210900258","1 (<0.1%)"
"233","ECVM210900260","1 (<0.1%)"
"234","ECVM210900262","1 (<0.1%)"
"235","ECVM210900263","1 (<0.1%)"
"236","ECVM210900264","1 (<0.1%)"
"237","ECVM210900265","1 (<0.1%)"
"238","ECVM210900266","1 (<0.1%)"
"239","ECVM210900267","1 (<0.1%)"
"240","ECVM210900268","1 (<0.1%)"
"241","ECVM210900269","1 (<0.1%)"
"242","ECVM210900270","1 (<0.1%)"
"243","ECVM210900271","1 (<0.1%)"
"244","ECVM210900272","1 (<0.1%)"
"245","ECVM210900273","1 (<0.1%)"
"246","ECVM210900274","1 (<0.1%)"
"247","ECVM210900275","1 (<0.1%)"
"248","ECVM210900276","1 (<0.1%)"
"249","ECVM210900277","1 (<0.1%)"
"250","ECVM210900278","1 (<0.1%)"
"251","ECVM210900279","1 (<0.1%)"
"252","ECVM210900280","1 (<0.1%)"
"253","ECVM210900281","1 (<0.1%)"
"254","ECVM210900284","1 (<0.1%)"
"255","ECVM210900285","1 (<0.1%)"
"256","ECVM210900286","1 (<0.1%)"
"257","ECVM210900287","1 (<0.1%)"
"258","ECVM210900288","1 (<0.1%)"
"259","ECVM210900289","1 (<0.1%)"
"260","ECVM210900290","1 (<0.1%)"
"261","ECVM210900291","1 (<0.1%)"
"262","ECVM210900292","1 (<0.1%)"
"263","ECVM210900294","1 (<0.1%)"
"264","ECVM210900296","1 (<0.1%)"
"265","ECVM210900298","1 (<0.1%)"
"266","ECVM210900299","1 (<0.1%)"
"267","ECVM210900300","1 (<0.1%)"
"268","ECVM210900301","1 (<0.1%)"
"269","ECVM210900303","1 (<0.1%)"
"270","ECVM210900304","1 (<0.1%)"
"271","ECVM210900305","1 (<0.1%)"
"272","ECVM210900306","1 (<0.1%)"
"273","ECVM210900307","1 (<0.1%)"
"274","ECVM210900308","1 (<0.1%)"
"275","ECVM210900310","1 (<0.1%)"
"276","ECVM210900311","1 (<0.1%)"
"277","ECVM210900312","1 (<0.1%)"
"278","ECVM210900313","1 (<0.1%)"
"279","ECVM210900314","1 (<0.1%)"
"280","ECVM210900315","1 (<0.1%)"
"281","ECVM210900316","1 (<0.1%)"
"282","ECVM210900318","1 (<0.1%)"
"283","ECVM210900319","1 (<0.1%)"
"284","ECVM210900320","1 (<0.1%)"
"285","ECVM210900321","1 (<0.1%)"
"286","ECVM210900322","1 (<0.1%)"
"287","ECVM210900323","1 (<0.1%)"
"288","ECVM210900324","1 (<0.1%)"
"289","ECVM210900325","1 (<0.1%)"
"290","ECVM210900326","1 (<0.1%)"
"291","ECVM210900327","1 (<0.1%)"
"292","ECVM210900328","1 (<0.1%)"
"293","ECVM210900329","1 (<0.1%)"
"294","ECVM210900330","1 (<0.1%)"
"295","ECVM210900332","1 (<0.1%)"
"296","ECVM210900333","1 (<0.1%)"
"297","ECVM210900334","1 (<0.1%)"
"298","ECVM210900335","1 (<0.1%)"
"299","ECVM210900337","1 (<0.1%)"
"300","ECVM210900338","1 (<0.1%)"
"301","ECVM210900339","1 (<0.1%)"
"302","ECVM210900340","1 (<0.1%)"
"303","ECVM210900341","1 (<0.1%)"
"304","ECVM210900343","1 (<0.1%)"
"305","ECVM210900344","1 (<0.1%)"
"306","ECVM210900345","1 (<0.1%)"
"307","ECVM210900346","1 (<0.1%)"
"308","ECVM210900347","1 (<0.1%)"
"309","ECVM210900348","1 (<0.1%)"
"310","ECVM210900349","1 (<0.1%)"
"311","ECVM210900352","1 (<0.1%)"
"312","ECVM210900353","1 (<0.1%)"
"313","ECVM210900354","1 (<0.1%)"
"314","ECVM210900355","1 (<0.1%)"
"315","ECVM210900357","1 (<0.1%)"
"316","ECVM210900358","1 (<0.1%)"
"317","ECVM210900359","1 (<0.1%)"
"318","ECVM210900360","1 (<0.1%)"
"319","ECVM210900363","1 (<0.1%)"
"320","ECVM210900364","1 (<0.1%)"
"321","ECVM210900365","1 (<0.1%)"
"322","ECVM210900366","1 (<0.1%)"
"323","ECVM210900367","1 (<0.1%)"
"324","ECVM210900368","1 (<0.1%)"
"325","ECVM210900369","1 (<0.1%)"
"326","ECVM210900370","1 (<0.1%)"
"327","ECVM210900371","1 (<0.1%)"
"328","ECVM210900373","1 (<0.1%)"
"329","ECVM210900374","1 (<0.1%)"
"330","ECVM210900375","1 (<0.1%)"
"331","ECVM210900376","1 (<0.1%)"
"332","ECVM210900377","1 (<0.1%)"
"333","ECVM210900378","1 (<0.1%)"
"334","ECVM210900379","1 (<0.1%)"
"335","ECVM210900380","1 (<0.1%)"
"336","ECVM210900382","1 (<0.1%)"
"337","ECVM210900383","1 (<0.1%)"
"338","ECVM210900384","1 (<0.1%)"
"339","ECVM210900385","1 (<0.1%)"
"340","ECVM210900386","1 (<0.1%)"
"341","ECVM210900387","1 (<0.1%)"
"342","ECVM210900388","1 (<0.1%)"
"343","ECVM210900390","1 (<0.1%)"
"344","ECVM210900391","1 (<0.1%)"
"345","ECVM210900392","1 (<0.1%)"
"346","ECVM210900393","1 (<0.1%)"
"347","ECVM210900394","1 (<0.1%)"
"348","ECVM210900395","1 (<0.1%)"
"349","ECVM210900396","1 (<0.1%)"
"350","ECVM210900397","1 (<0.1%)"
"351","ECVM210900398","1 (<0.1%)"
"352","ECVM210900399","1 (<0.1%)"
"353","ECVM210900400","1 (<0.1%)"
"354","ECVM210900401","1 (<0.1%)"
"355","ECVM210900402","1 (<0.1%)"
"356","ECVM210900403","1 (<0.1%)"
"357","ECVM210900405","1 (<0.1%)"
"358","ECVM210900406","1 (<0.1%)"
"359","ECVM210900407","1 (<0.1%)"
"360","ECVM210900408","1 (<0.1%)"
"361","ECVM210900409","1 (<0.1%)"
"362","ECVM210900410","1 (<0.1%)"
"363","ECVM210900411","1 (<0.1%)"
"364","ECVM210900412","1 (<0.1%)"
"365","ECVM210900413","1 (<0.1%)"
"366","ECVM210900414","1 (<0.1%)"
"367","ECVM210900415","1 (<0.1%)"
"368","ECVM210900416","1 (<0.1%)"
"369","ECVM210900417","1 (<0.1%)"
"370","ECVM210900418","1 (<0.1%)"
"371","ECVM210900419","1 (<0.1%)"
"372","ECVM210900420","1 (<0.1%)"
"373","ECVM210900421","1 (<0.1%)"
"374","ECVM210900422","1 (<0.1%)"
"375","ECVM210900423","1 (<0.1%)"
"376","ECVM210900424","1 (<0.1%)"
"377","ECVM210900426","1 (<0.1%)"
"378","ECVM210900427","1 (<0.1%)"
"379","ECVM210900428","1 (<0.1%)"
"380","ECVM210900429","1 (<0.1%)"
"381","ECVM210900430","1 (<0.1%)"
"382","ECVM210900431","1 (<0.1%)"
"383","ECVM210900432","1 (<0.1%)"
"384","ECVM210900433","1 (<0.1%)"
"385","ECVM210900434","1 (<0.1%)"
"386","ECVM210900435","1 (<0.1%)"
"387","ECVM210900436","1 (<0.1%)"
"388","ECVM210900437","1 (<0.1%)"
"389","ECVM210900438","1 (<0.1%)"
"390","ECVM210900439","1 (<0.1%)"
"391","ECVM210900440","1 (<0.1%)"
"392","ECVM210900441","1 (<0.1%)"
"393","ECVM210900442","1 (<0.1%)"
"394","ECVM210900443","1 (<0.1%)"
"395","ECVM210900444","1 (<0.1%)"
"396","ECVM210900445","1 (<0.1%)"
"397","ECVM210900446","1 (<0.1%)"
"398","ECVM210900447","1 (<0.1%)"
"399","ECVM210900449","1 (<0.1%)"
"400","ECVM210900450","1 (<0.1%)"
"401","ECVM210900451","1 (<0.1%)"
"402","ECVM210900452","1 (<0.1%)"
"403","ECVM210900453","1 (<0.1%)"
"404","ECVM210900455","1 (<0.1%)"
"405","ECVM210900456","1 (<0.1%)"
"406","ECVM210900457","1 (<0.1%)"
"407","ECVM210900458","1 (<0.1%)"
"408","ECVM210900459","1 (<0.1%)"
"409","ECVM210900460","1 (<0.1%)"
"410","ECVM210900461","1 (<0.1%)"
"411","ECVM210900462","1 (<0.1%)"
"412","ECVM210900463","1 (<0.1%)"
"413","ECVM210900464","1 (<0.1%)"
"414","ECVM210900465","1 (<0.1%)"
"415","ECVM210900466","1 (<0.1%)"
"416","ECVM210900467","1 (<0.1%)"
"417","ECVM210900468","1 (<0.1%)"
"418","ECVM210900469","1 (<0.1%)"
"419","ECVM210900470","1 (<0.1%)"
"420","ECVM210900471","1 (<0.1%)"
"421","ECVM210900472","1 (<0.1%)"
"422","ECVM210900474","1 (<0.1%)"
"423","ECVM210900475","1 (<0.1%)"
"424","ECVM210900476","1 (<0.1%)"
"425","ECVM210900477","1 (<0.1%)"
"426","ECVM210900478","1 (<0.1%)"
"427","ECVM210900479","1 (<0.1%)"
"428","ECVM210900480","1 (<0.1%)"
"429","ECVM210900481","1 (<0.1%)"
"430","ECVM210900482","1 (<0.1%)"
"431","ECVM210900483","1 (<0.1%)"
"432","ECVM210900484","1 (<0.1%)"
"433","ECVM210900485","1 (<0.1%)"
"434","ECVM210900486","1 (<0.1%)"
"435","ECVM210900488","1 (<0.1%)"
"436","ECVM210900489","1 (<0.1%)"
"437","ECVM210900490","1 (<0.1%)"
"438","ECVM210900491","1 (<0.1%)"
"439","ECVM210900492","1 (<0.1%)"
"440","ECVM210900493","1 (<0.1%)"
"441","ECVM210900494","1 (<0.1%)"
"442","ECVM210900495","1 (<0.1%)"
"443","ECVM210900496","1 (<0.1%)"
"444","ECVM210900497","1 (<0.1%)"
"445","ECVM210900498","1 (<0.1%)"
"446","ECVM210900500","1 (<0.1%)"
"447","ECVM210900501","1 (<0.1%)"
"448","ECVM210900502","1 (<0.1%)"
"449","ECVM210900503","1 (<0.1%)"
"450","ECVM210900504","1 (<0.1%)"
"451","ECVM210900505","1 (<0.1%)"
"452","ECVM210900506","1 (<0.1%)"
"453","ECVM210900507","1 (<0.1%)"
"454","ECVM210900508","1 (<0.1%)"
"455","ECVM210900509","1 (<0.1%)"
"456","ECVM210900510","1 (<0.1%)"
"457","ECVM210900511","1 (<0.1%)"
"458","ECVM210900512","1 (<0.1%)"
"459","ECVM210900513","1 (<0.1%)"
"460","ECVM210900514","1 (<0.1%)"
"461","ECVM210900515","1 (<0.1%)"
"462","ECVM210900516","1 (<0.1%)"
"463","ECVM210900518","1 (<0.1%)"
"464","ECVM210900519","1 (<0.1%)"
"465","ECVM210900520","1 (<0.1%)"
"466","ECVM210900521","1 (<0.1%)"
"467","ECVM210900522","1 (<0.1%)"
"468","ECVM210900523","1 (<0.1%)"
"469","ECVM210900524","1 (<0.1%)"
"470","ECVM210900525","1 (<0.1%)"
"471","ECVM210900526","1 (<0.1%)"
"472","ECVM210900527","1 (<0.1%)"
"473","ECVM210900528","1 (<0.1%)"
"474","ECVM210900529","1 (<0.1%)"
"475","ECVM210900530","1 (<0.1%)"
"476","ECVM210900531","1 (<0.1%)"
"477","ECVM210900532","1 (<0.1%)"
"478","ECVM210900533","1 (<0.1%)"
"479","ECVM210900534","1 (<0.1%)"
"480","ECVM210900535","1 (<0.1%)"
"481","ECVM210900537","1 (<0.1%)"
"482","ECVM210900538","1 (<0.1%)"
"483","ECVM210900539","1 (<0.1%)"
"484","ECVM210900540","1 (<0.1%)"
"485","ECVM210900541","1 (<0.1%)"
"486","ECVM210900542","1 (<0.1%)"
"487","ECVM210900543","1 (<0.1%)"
"488","ECVM210900544","1 (<0.1%)"
"489","ECVM210900545","1 (<0.1%)"
"490","ECVM210900546","1 (<0.1%)"
"491","ECVM210900547","1 (<0.1%)"
"492","ECVM210900548","1 (<0.1%)"
"493","ECVM210900549","1 (<0.1%)"
"494","ECVM210900550","1 (<0.1%)"
"495","ECVM210900551","1 (<0.1%)"
"496","ECVM210900552","1 (<0.1%)"
"497","ECVM210900553","1 (<0.1%)"
"498","ECVM210900554","1 (<0.1%)"
"499","ECVM210900555","1 (<0.1%)"
"500","ECVM210900556","1 (<0.1%)"
"501","ECVM210900558","1 (<0.1%)"
"502","ECVM210900559","1 (<0.1%)"
"503","ECVM210900560","1 (<0.1%)"
"504","ECVM210900561","1 (<0.1%)"
"505","ECVM210900562","1 (<0.1%)"
"506","ECVM210900563","1 (<0.1%)"
"507","ECVM210900564","1 (<0.1%)"
"508","ECVM210900566","1 (<0.1%)"
"509","ECVM210900567","1 (<0.1%)"
"510","ECVM210900568","1 (<0.1%)"
"511","ECVM210900569","1 (<0.1%)"
"512","ECVM210900570","1 (<0.1%)"
"513","ECVM210900572","1 (<0.1%)"
"514","ECVM210900573","1 (<0.1%)"
"515","ECVM210900574","1 (<0.1%)"
"516","ECVM210900575","1 (<0.1%)"
"517","ECVM210900576","1 (<0.1%)"
"518","ECVM210900577","1 (<0.1%)"
"519","ECVM210900578","1 (<0.1%)"
"520","ECVM210900579","1 (<0.1%)"
"521","ECVM210900580","1 (<0.1%)"
"522","ECVM210900581","1 (<0.1%)"
"523","ECVM210900582","1 (<0.1%)"
"524","ECVM210900583","1 (<0.1%)"
"525","ECVM210900584","1 (<0.1%)"
"526","ECVM210900585","1 (<0.1%)"
"527","ECVM210900587","1 (<0.1%)"
"528","ECVM210900588","1 (<0.1%)"
"529","ECVM210900589","1 (<0.1%)"
"530","ECVM210900591","1 (<0.1%)"
"531","ECVM210900592","1 (<0.1%)"
"532","ECVM210900593","1 (<0.1%)"
"533","ECVM210900594","1 (<0.1%)"
"534","ECVM210900595","1 (<0.1%)"
"535","ECVM210900596","1 (<0.1%)"
"536","ECVM210900597","1 (<0.1%)"
"537","ECVM210900598","1 (<0.1%)"
"538","ECVM210900599","1 (<0.1%)"
"539","ECVM210900600","1 (<0.1%)"
"540","ECVM210900601","1 (<0.1%)"
"541","ECVM210900602","1 (<0.1%)"
"542","ECVM210900604","1 (<0.1%)"
"543","ECVM210900605","1 (<0.1%)"
"544","ECVM210900606","1 (<0.1%)"
"545","ECVM210900607","1 (<0.1%)"
"546","ECVM210900608","1 (<0.1%)"
"547","ECVM210900609","1 (<0.1%)"
"548","ECVM210900610","1 (<0.1%)"
"549","ECVM210900611","1 (<0.1%)"
"550","ECVM210900613","1 (<0.1%)"
"551","ECVM210900614","1 (<0.1%)"
"552","ECVM210900615","1 (<0.1%)"
"553","ECVM210900616","1 (<0.1%)"
"554","ECVM210900617","1 (<0.1%)"
"555","ECVM210900618","1 (<0.1%)"
"556","ECVM210900619","1 (<0.1%)"
"557","ECVM210900620","1 (<0.1%)"
"558","ECVM210900621","1 (<0.1%)"
"559","ECVM210900624","1 (<0.1%)"
"560","ECVM210900625","1 (<0.1%)"
"561","ECVM210900626","1 (<0.1%)"
"562","ECVM210900627","1 (<0.1%)"
"563","ECVM210900628","1 (<0.1%)"
"564","ECVM210900630","1 (<0.1%)"
"565","ECVM210900631","1 (<0.1%)"
"566","ECVM210900632","1 (<0.1%)"
"567","ECVM210900633","1 (<0.1%)"
"568","ECVM210900635","1 (<0.1%)"
"569","ECVM210900636","1 (<0.1%)"
"570","ECVM210900637","1 (<0.1%)"
"571","ECVM210900638","1 (<0.1%)"
"572","ECVM210900639","1 (<0.1%)"
"573","ECVM210900640","1 (<0.1%)"
"574","ECVM210900641","1 (<0.1%)"
"575","ECVM210900642","1 (<0.1%)"
"576","ECVM210900643","1 (<0.1%)"
"577","ECVM210900644","1 (<0.1%)"
"578","ECVM210900645","1 (<0.1%)"
"579","ECVM210900646","1 (<0.1%)"
"580","ECVM210900647","1 (<0.1%)"
"581","ECVM210900648","1 (<0.1%)"
"582","ECVM210900649","1 (<0.1%)"
"583","ECVM210900650","1 (<0.1%)"
"584","ECVM210900651","1 (<0.1%)"
"585","ECVM210900652","1 (<0.1%)"
"586","ECVM210900653","1 (<0.1%)"
"587","ECVM210900654","1 (<0.1%)"
"588","ECVM210900655","1 (<0.1%)"
"589","ECVM210900656","1 (<0.1%)"
"590","ECVM210900657","1 (<0.1%)"
"591","ECVM210900658","1 (<0.1%)"
"592","ECVM210900659","1 (<0.1%)"
"593","ECVM210900660","1 (<0.1%)"
"594","ECVM210900661","1 (<0.1%)"
"595","ECVM210900662","1 (<0.1%)"
"596","ECVM210900663","1 (<0.1%)"
"597","ECVM210900664","1 (<0.1%)"
"598","ECVM210900665","1 (<0.1%)"
"599","ECVM210900666","1 (<0.1%)"
"600","ECVM210900667","1 (<0.1%)"
"601","ECVM210900668","1 (<0.1%)"
"602","ECVM210900669","1 (<0.1%)"
"603","ECVM210900670","1 (<0.1%)"
"604","ECVM210900671","1 (<0.1%)"
"605","ECVM210900673","1 (<0.1%)"
"606","ECVM210900674","1 (<0.1%)"
"607","ECVM210900675","1 (<0.1%)"
"608","ECVM210900676","1 (<0.1%)"
"609","ECVM210900677","1 (<0.1%)"
"610","ECVM210900678","1 (<0.1%)"
"611","ECVM210900680","1 (<0.1%)"
"612","ECVM210900681","1 (<0.1%)"
"613","ECVM210900682","1 (<0.1%)"
"614","ECVM210900683","1 (<0.1%)"
"615","ECVM210900685","1 (<0.1%)"
"616","ECVM210900686","1 (<0.1%)"
"617","ECVM210900688","1 (<0.1%)"
"618","ECVM210900689","1 (<0.1%)"
"619","ECVM210900690","1 (<0.1%)"
"620","ECVM210900691","1 (<0.1%)"
"621","ECVM210900692","1 (<0.1%)"
"622","ECVM210900693","1 (<0.1%)"
"623","ECVM210900694","1 (<0.1%)"
"624","ECVM210900695","1 (<0.1%)"
"625","ECVM210900696","1 (<0.1%)"
"626","ECVM210900698","1 (<0.1%)"
"627","ECVM210900699","1 (<0.1%)"
"628","ECVM210900700","1 (<0.1%)"
"629","ECVM210900701","1 (<0.1%)"
"630","ECVM210900703","1 (<0.1%)"
"631","ECVM210900705","1 (<0.1%)"
"632","ECVM210900706","1 (<0.1%)"
"633","ECVM210900707","1 (<0.1%)"
"634","ECVM210900708","1 (<0.1%)"
"635","ECVM210900709","1 (<0.1%)"
