DAP,AESI,Sex,Age in 2020,history_covid,Person years,IR narrow,LL narrow,UL narrow
TEST,PERICARD_narrow,Male,18-24,0,0,0,0,500878.52
TEST,PERICARD_narrow,Male,18-24,1,0,0,0,7925666
TEST,PERICARD_narrow,Female,25-29,0,0,0,0,262643.9
TEST,PERICARD_narrow,Female,25-29,1,0,0,0,1684204.03
TEST,PERICARD_narrow,Male,25-29,0,0,0,0,234732.27
TEST,PERICARD_narrow,Male,25-29,1,0,0,0,2694726.44
TEST,PERICARD_narrow,Female,30-39,0,0,0,0,88409.66
TEST,PERICARD_narrow,Female,30-39,1,0,0,0,10364332.47
TEST,PERICARD_narrow,Male,30-39,0,0,0,0,141827.71
TEST,PERICARD_narrow,Male,30-39,1,0,0,0,774346.68
TEST,PERICARD_narrow,Female,40-49,0,0,0,0,61467.3
TEST,PERICARD_narrow,Female,40-49,1,0,0,0,874911.18
TEST,PERICARD_narrow,Male,40-49,0,0,0,0,137066.45
TEST,PERICARD_narrow,Male,40-49,1,0,0,0,935668.9
TEST,PERICARD_narrow,Female,50-59,0,0,0,0,29795.74
TEST,PERICARD_narrow,Female,50-59,1,0,0,0,1095417.25
TEST,PERICARD_narrow,Male,50-59,0,0,0,0,72516.86
TEST,PERICARD_narrow,Male,50-59,1,0,0,0,14970702.45
TEST,PERICARD_narrow,Female,60-69,0,0,0,0,35078.45
TEST,PERICARD_narrow,Female,60-69,1,0,0,0,1480618.92
TEST,PERICARD_narrow,Male,60-69,0,0,0,0,41216.37
TEST,PERICARD_narrow,Male,60-69,1,0,0,0,1952700.32
TEST,PERICARD_narrow,Female,70-79,0,0,0,0,48085.77
TEST,PERICARD_narrow,Female,70-79,1,0,0,0,1924804.6
TEST,PERICARD_narrow,Male,70-79,0,0,0,0,55492.72
TEST,PERICARD_narrow,Female,80+,0,0,0,0,12843.04
TEST,PERICARD_narrow,Female,80+,1,0,0,0,852761.53
TEST,PERICARD_narrow,Male,80+,0,0,0,0,16379.32
