sex,ageband_at_date_vax_1,type_vax,Dose,history_covid,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
1,25-29,Moderna,1,0,2021,53,53,53,53,53,53,53,53,53,53,53,53,53,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,1,0,2021,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,2,0,2021,5979,5979,5979,5979,5964,5979,5964,5979,5979,5979,5979,5979,5979,0,0,0,1,0,1,0,0,0,0,0,0
1,18-24,Pfizer,1,0,2021,130,130,130,130,130,130,130,130,130,130,130,130,130,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,Pfizer,1,0,2021,1262,1262,1262,1262,1262,1262,1262,1262,1262,1262,1262,1262,1262,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,AstraZeneca,1,0,2021,417,417,417,417,417,417,417,417,417,417,417,417,417,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,Pfizer,1,0,2021,533,533,533,533,533,533,533,533,533,533,533,533,533,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,Pfizer,2,0,2021,866,866,866,866,866,866,866,866,866,866,866,866,866,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,Pfizer,1,0,2021,208,208,208,208,208,208,208,208,208,208,208,208,208,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Pfizer,1,0,2021,373,373,373,373,373,373,373,373,373,373,373,373,373,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Pfizer,2,0,2021,431,431,431,431,431,431,431,431,431,431,431,431,431,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,AstraZeneca,1,0,2021,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,AstraZeneca,2,0,2021,206,206,206,206,206,206,206,206,206,206,206,206,206,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,1,0,2021,1698,1698,1698,1698,1698,1698,1698,1698,1698,1698,1698,1698,1698,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,2,0,2021,1172,1172,1172,1172,1172,1172,1172,1172,1172,1172,1172,1172,1172,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Moderna,1,0,2021,460,460,460,460,460,460,460,460,460,460,460,460,460,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,Pfizer,2,0,2021,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,Moderna,1,0,2021,532,532,532,532,532,532,532,532,532,532,532,532,532,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,AstraZeneca,1,0,2021,684,684,684,684,684,684,684,684,684,684,684,684,684,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,Pfizer,1,0,2021,325,325,325,325,325,325,325,325,325,325,325,325,325,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,2,0,2021,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,J&J,1,0,2021,327,327,327,327,327,327,327,327,327,327,327,327,327,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,Pfizer,1,0,2021,203,203,203,203,203,203,203,203,203,203,203,203,203,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,J&J,1,0,2021,165,165,165,165,165,165,165,165,165,165,165,165,165,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,Moderna,1,0,2021,196,196,196,196,196,196,196,196,196,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,AstraZeneca,1,0,2021,728,728,728,728,728,728,728,728,728,728,728,728,728,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,Pfizer,2,0,2021,585,585,585,585,585,585,585,585,585,585,585,585,585,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,Moderna,2,0,2021,71,71,71,71,71,71,71,71,71,71,71,71,71,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Moderna,1,0,2021,548,548,548,548,548,548,548,548,548,548,548,548,548,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,AstraZeneca,1,0,2021,358,358,358,358,358,358,358,358,358,358,358,358,358,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,AstraZeneca,2,0,2021,237,237,237,237,237,237,237,237,237,237,237,237,237,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,2,0,2021,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Moderna,2,0,2021,465,465,465,465,465,465,465,465,465,465,465,465,465,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,AstraZeneca,1,0,2021,112,112,112,112,112,112,112,112,112,112,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,AstraZeneca,2,0,2021,173,173,173,173,173,173,173,173,173,173,173,173,173,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Moderna,1,0,2021,229,229,229,229,229,229,229,229,229,229,229,229,229,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Moderna,2,0,2021,396,396,396,396,396,396,396,396,396,396,396,396,396,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,AstraZeneca,2,0,2021,322,322,322,322,322,322,322,319,322,322,322,319,322,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,AstraZeneca,1,0,2021,336,336,336,336,336,336,336,336,336,336,336,336,336,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,AstraZeneca,2,0,2021,312,312,312,312,312,312,312,312,312,312,312,312,312,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,Moderna,1,0,2021,51,51,51,51,51,51,51,51,51,51,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,Pfizer,1,0,2021,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,Pfizer,1,0,2021,77,77,77,77,77,77,77,77,77,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Moderna,1,1,2021,28,28,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Moderna,2,1,2021,72,72,72,72,72,72,72,72,72,72,72,72,72,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,Pfizer,1,1,2021,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Pfizer,1,1,2021,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Pfizer,2,1,2021,155,155,155,155,155,155,155,155,155,155,155,155,155,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,1,1,2021,47,47,47,47,47,47,47,47,47,47,47,47,47,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Moderna,2,0,2021,169,169,169,169,169,169,169,169,169,169,169,169,169,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,J&J,1,0,2021,82,82,82,82,82,82,82,82,82,82,82,82,82,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,J&J,1,0,2021,56,56,56,56,56,56,56,56,56,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,Pfizer,2,0,2021,321,321,321,321,321,321,321,321,321,321,321,321,321,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,Pfizer,1,1,2021,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,Pfizer,2,1,2021,46,46,46,46,46,46,46,46,46,46,46,46,46,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,J&J,1,0,2021,84,84,84,84,84,84,84,84,84,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,1,1,2021,56,56,56,56,56,56,56,56,56,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Moderna,1,0,2021,82,82,82,82,82,82,82,82,82,82,82,82,82,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Moderna,2,0,2021,206,206,206,206,206,206,206,206,206,206,206,206,206,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,Pfizer,1,1,2021,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Pfizer,1,1,2021,46,46,46,46,46,46,46,46,46,46,46,46,46,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,AstraZeneca,1,0,2021,392,392,392,392,392,392,392,392,392,392,392,392,392,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,Pfizer,1,1,2021,41,41,41,41,41,41,41,41,41,41,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,Moderna,1,0,2021,64,64,64,64,64,64,64,64,64,64,64,64,64,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,Moderna,2,0,2021,161,161,161,161,161,161,161,161,161,161,161,161,161,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,AstraZeneca,2,0,2021,234,234,234,234,234,234,234,234,234,234,234,234,234,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,Moderna,1,0,2021,221,221,221,221,221,221,221,221,221,221,221,221,221,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,Moderna,2,0,2021,304,304,304,304,304,304,304,304,304,304,304,304,304,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,Moderna,2,0,2021,478,478,478,478,478,478,478,478,478,478,478,478,478,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,AstraZeneca,1,0,2021,83,83,83,83,83,83,83,83,83,83,83,83,83,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,AstraZeneca,2,0,2021,51,51,51,51,51,51,51,51,51,51,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,Pfizer,2,0,2021,144,144,144,144,144,144,144,144,144,144,144,144,144,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,Pfizer,1,1,2021,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Moderna,1,0,2021,224,224,224,224,224,224,224,224,224,224,224,224,224,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Moderna,2,0,2021,278,278,278,278,278,278,278,278,278,278,278,278,278,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,Pfizer,2,0,2021,159,159,159,159,159,159,159,159,159,159,159,159,159,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,AstraZeneca,1,1,2021,28,28,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,AstraZeneca,2,1,2021,41,41,41,41,41,41,41,41,41,41,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,AstraZeneca,1,0,2021,28,28,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Moderna,1,0,2021,145,145,145,145,145,145,145,145,145,145,145,145,145,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,J&J,1,0,2021,129,129,129,129,129,129,129,129,129,129,129,129,129,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,1,1,2021,28,28,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,1,1,2021,48,48,48,48,48,48,48,48,48,48,48,48,48,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,2,1,2021,53,53,53,53,53,53,53,53,53,53,53,53,53,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,Pfizer,1,1,2021,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,Pfizer,2,1,2021,58,58,58,58,58,58,58,58,58,58,58,58,58,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,AstraZeneca,1,0,2021,28,28,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,AstraZeneca,2,0,2021,55,55,55,55,55,55,55,55,55,55,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,J&J,1,1,2021,36,36,36,36,36,36,36,36,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,Moderna,2,0,2021,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,AstraZeneca,2,0,2021,86,86,86,86,86,86,86,86,86,86,86,86,86,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,Moderna,1,0,2021,56,56,56,56,56,56,56,56,56,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,Moderna,2,0,2021,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Pfizer,2,0,2021,118,118,118,118,118,118,118,118,118,118,118,118,118,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,Pfizer,2,0,2021,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,Pfizer,1,1,2021,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,AstraZeneca,1,1,2021,28,28,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,Moderna,2,0,2021,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,Pfizer,2,0,2021,311,311,311,311,311,311,311,311,311,311,311,311,311,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,1,1,2021,56,56,56,56,56,56,56,56,56,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Moderna,2,0,2021,106,106,106,106,106,106,106,106,106,106,106,106,106,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Pfizer,2,1,2021,98,98,98,98,98,98,98,98,98,98,98,98,98,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,AstraZeneca,1,1,2021,28,28,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0
