sex,Dose,Ageband,type_vax,Period,COVID19,CV,COVCANCER,COVCOPD,COVHIV,COVCKD,COVDIAB,COVOBES,COVSICKLE,IMMUNOSUPPR,any_risk_factors,year,Persontime,Persontime_ADEM_broad,Persontime_ACUASEARTHRITIS_broad,Persontime_DM1_narrow,Persontime_DM1_broad,Persontime_HF_narrow,Persontime_HF_broad,Persontime_CAD_narrow,Persontime_CAD_broad,Persontime_ARR_narrow,Persontime_ARR_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_broad,Persontime_PERICARD_narrow,Persontime_PERICARD_broad,Persontime_AKI_narrow,Persontime_AKI_broad,Persontime_MENINGOENC_narrow,Persontime_MENINGOENC_broad,Persontime_ARD_narrow,Persontime_ARD_broad,Persontime_CHILBLAIN_narrow,Persontime_CHILBLAIN_broad,Persontime_MIS_broad,Persontime_Hemostroke_narrow,Persontime_Hemostroke_broad,Persontime_Ischstroke_narrow,Persontime_Ischstroke_broad,Persontime_VTE_narrow,Persontime_VTE_broad,Persontime_CONTRDIVERTIC,Persontime_CONTRHYPERT,Persontime_MIS_KD_narrow,Persontime_MIS_KD_broad,Persontime_DEATH,Persontime_ArterialNoTP,Persontime_VTENoTP,Persontime_ArterialVTENoTP,ADEM_broad_b,ACUASEARTHRITIS_broad_b,DM1_narrow_b,DM1_broad_b,HF_narrow_b,HF_broad_b,CAD_narrow_b,CAD_broad_b,ARR_narrow_b,ARR_broad_b,MYOCARD_narrow_b,MYOCARD_broad_b,PERICARD_narrow_b,PERICARD_broad_b,AKI_narrow_b,AKI_broad_b,MENINGOENC_narrow_b,MENINGOENC_broad_b,ARD_narrow_b,ARD_broad_b,CHILBLAIN_narrow_b,CHILBLAIN_broad_b,MIS_broad_b,Hemostroke_narrow_b,Hemostroke_broad_b,Ischstroke_narrow_b,Ischstroke_broad_b,VTE_narrow_b,VTE_broad_b,CONTRDIVERTIC_b,CONTRHYPERT_b,MIS_KD_narrow_b,MIS_KD_broad_b,DEATH_b,ArterialNoTP_b,VTENoTP_b,ArterialVTENoTP_b,Persontime_GENCONV_narrow,Persontime_GENCONV_broad,Persontime_ANAPHYL_broad,GENCONV_narrow_b,GENCONV_broad_b,ANAPHYL_broad_b
0,0,40-49,0,0,0,0,1,0,0,0,0,0,0,0,1,2020,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,330,330,0,0,0
0,0,40-49,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,94,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,312,312,0,0,0
0,0,5-11,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,22291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22291,22291,22291,0,0,0
0,0,5-11,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,20389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20389,20389,20389,0,0,0
0,0,5-11,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,63,0,0,0
0,0,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,77108,77108,77108,77108,77108,77108,77108,77006,77006,76884,76884,77108,77108,77108,77108,77108,77108,77108,77108,77108,77108,77108,77108,77108,77108,77108,77108,76936,77108,77108,77108,72448,77108,77108,77108,77006,77108,77006,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,0,0,1,0,1,77108,77108,77108,0,0,0
0,0,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,72804,72804,72804,72804,72309,72804,72804,72438,72438,72398,72398,72804,72804,72804,72804,72804,72804,72804,72804,72804,72804,72804,72804,72804,72804,72804,72473,72107,72804,72804,72804,63315,72804,72804,72804,72107,72804,72107,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,0,0,0,1,0,1,72804,72804,72804,0,0,0
0,0,50-59,0,0,0,0,0,0,0,1,0,0,0,0,1,2019,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,149,149,0,0,0
0,0,50-59,0,0,0,0,1,0,0,0,0,0,0,0,1,2019,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,730,730,0,0,0
0,0,50-59,0,0,0,0,1,0,0,0,0,0,0,0,1,2020,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,768,768,0,0,0
0,0,50-59,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,590,590,590,590,432,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,383,590,590,590,590,590,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,590,590,590,0,0,0
0,0,60-69,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,67256,67256,67256,67256,67116,67256,67256,67256,67256,67010,67010,67256,67256,67256,67256,67256,66961,67256,67256,67256,67256,67256,67256,67256,67256,67256,67256,67256,67215,67215,67256,60123,67256,67256,67256,67256,67215,67215,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,36,0,0,0,0,1,1,67256,67256,67256,0,0,0
0,0,60-69,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,62833,62833,62833,62833,62660,62833,62833,62833,62833,62757,62757,62833,62833,62833,62833,62833,62467,62833,62833,62833,62833,62833,62833,62833,62745,62745,62833,62833,62467,62467,62833,50644,62833,62833,62833,62833,62467,62467,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,14,0,0,0,0,0,0,62833,62833,62833,0,0,0
0,0,60-69,0,0,0,0,0,0,0,0,1,0,0,0,1,2019,65,65,65,65,0,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,65,0,0,0
0,0,60-69,0,0,0,0,1,0,0,0,0,0,0,0,1,2019,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,933,1095,1095,1095,1095,1095,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1095,1095,1095,0,0,0
0,0,60-69,0,0,0,0,1,0,0,0,0,0,0,0,1,2020,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,732,1098,1098,1098,1098,1098,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098,1098,1098,0,0,0
0,0,60-69,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,3,219,219,219,219,219,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,219,219,0,0,0
0,0,70-79,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,52419,52419,52274,52419,52379,52241,51916,52394,52354,51555,51555,52419,52419,52419,52419,52419,52282,52419,52419,52419,52419,52419,52419,52419,52419,52419,52043,52043,52376,52376,52419,39354,52419,52419,52419,52018,52376,51975,0,1,0,1,1,2,1,2,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,1,0,62,0,0,1,3,1,4,52419,52419,52419,0,0,0
0,0,70-79,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,50581,50581,50072,50581,49862,50466,50100,50474,50108,48390,48390,50581,50581,50581,50581,50581,50468,50581,50581,50581,50581,50581,50581,50580,50581,50581,49849,49849,50320,50320,50581,28530,50581,50580,50581,49742,50320,49481,0,1,0,1,1,1,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,16,0,1,0,1,2,3,50581,50581,50581,0,0,0
0,0,70-79,0,0,0,0,1,0,0,0,0,0,0,0,1,2019,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,89,89,0,0,0
0,0,70-79,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,17,17,0,0,0
0,0,80+,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,50864,50864,50629,50864,50388,49950,49565,50864,49770,49880,49880,50864,50864,50864,50864,50864,50669,50864,50864,50819,50819,50864,50864,50558,50864,50864,50617,50061,50371,50371,50864,38711,50864,50558,50864,50617,50371,50124,0,3,0,5,8,10,0,8,6,6,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,4,3,3,0,60,0,1,5,1,3,4,50864,50864,50864,0,0,0
0,0,80+,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,49841,49841,48957,49841,47617,47126,46394,49496,47292,46713,46713,49841,49841,49841,49841,49713,49211,49841,49841,49779,49779,49841,49841,49475,49841,49841,49149,48214,48524,48524,49841,25255,49841,49475,49841,48804,48524,47487,0,1,0,4,3,3,2,3,5,5,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,1,1,1,1,0,33,0,0,2,3,1,4,49781,49781,49841,2,2,0
0,0,80+,0,0,0,0,0,0,0,0,0,0,0,1,1,2019,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,15,365,365,365,365,365,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,365,365,365,0,0,0
0,0,80+,0,0,0,0,0,0,0,0,0,0,0,1,1,2020,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,0,102,102,102,102,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,102,0,0,0
0,0,80+,0,0,0,0,1,0,0,0,0,0,0,0,1,2019,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,315,315,0,0,0
0,0,80+,0,0,0,0,1,0,0,0,0,0,0,0,1,2020,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,366,366,0,0,0
0,0,80+,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,62,0,0,0
0,1,12-17,Pfizer,2,1,0,0,0,0,0,0,0,0,0,0,2021,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0
0,1,12-17,Pfizer,28,1,0,0,0,0,0,0,0,0,0,0,2021,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0
0,1,18-24,Moderna,2,0,0,0,0,0,0,0,0,0,0,0,2021,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0
0,1,18-24,Moderna,28,0,0,0,0,0,0,0,0,0,0,0,2021,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0
0,1,18-24,Pfizer,2,0,0,0,0,0,0,0,0,0,0,0,2021,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,0,0,0
0,1,18-24,Pfizer,28,0,0,0,0,0,0,0,0,0,0,0,2021,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,253,0,0,0
0,1,18-24,Pfizer,60,0,0,0,0,0,0,0,0,0,0,0,2021,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0
0,1,25-29,AstraZeneca,180,0,0,0,0,0,0,0,0,0,0,0,2021,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,0,0,0
0,1,25-29,AstraZeneca,2,0,0,0,0,0,0,0,0,0,0,0,2021,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0
